,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,69,34,9,2.0,1.0,105,0,2,1,2,2,0,0,0,0
1,7,66,32,6,6.0,1.0,95,0,-1,-1,11,7,4,2,-1,-1
2,11,64,31,4,10.0,1.0,105,1,-3,-2,9,6,-2,-1,-1,-2
3,16,64,31,4,14.0,1.0,95,1,-3,-2,9,6,4,2,0,-2
4,20,69,34,9,18.0,1.0,105,2,2,1,2,2,-2,-1,1,-1
5,25,66,32,6,22.0,1.0,95,2,-1,-1,11,7,4,2,-1,-2
6,29,77,39,5,26.0,1.0,105,3,10,6,10,7,1,1,1,-1
7,33,69,34,9,30.0,1.0,95,3,2,1,2,2,-3,-2,-1,-2
8,37,69,34,9,34.0,1.0,105,4,2,1,2,2,-3,-2,0,-2
9,42,66,32,6,38.0,1.0,95,4,-1,-1,11,7,4,2,-1,-3
10,46,64,31,4,42.0,1.0,105,5,-3,-2,9,6,-2,-1,-1,-4
11,51,64,31,4,46.0,1.0,95,5,-3,-2,9,6,4,2,0,-4
12,55,69,34,9,50.0,1.0,105,6,2,1,2,2,-3,-2,1,-3
13,59,72,36,0,54.0,1.0,95,6,5,3,5,4,1,1,1,-2
14,63,64,31,4,58.0,1.0,105,7,-3,-2,9,6,-3,-2,-1,-3
15,67,62,30,2,62.0,2.0,95,7,-5,-3,7,5,-2,-1,-1,-4
16,70,69,34,9,66.0,1.0,105,8,2,1,2,2,-3,-2,1,-3
17,75,66,32,6,70.0,1.0,95,8,-1,-1,11,7,4,2,-1,-4
18,79,64,31,4,74.0,1.0,105,9,-3,-2,9,6,-2,-1,-1,-5
19,84,64,31,4,78.0,1.0,95,9,-3,-2,9,6,4,2,0,-5
20,88,69,34,9,82.0,1.0,105,10,2,1,2,2,-2,-1,1,-4
21,93,66,32,6,86.0,1.0,95,10,-1,-1,11,7,4,2,-1,-5
22,97,77,39,5,90.0,1.0,105,11,10,6,10,7,1,1,1,-4
23,101,69,34,9,94.0,1.0,95,11,2,1,2,2,-3,-2,-1,-5
24,105,69,34,9,98.0,1.0,105,12,2,1,2,2,-3,-2,0,-5
25,110,66,32,6,102.0,1.0,95,12,-1,-1,11,7,4,2,-1,-6
26,114,64,31,4,106.0,1.0,105,13,-3,-2,9,6,-2,-1,-1,-7
27,119,64,31,4,110.0,1.0,95,13,-3,-2,9,6,4,2,0,-7
28,123,69,34,9,114.0,1.0,105,14,2,1,2,2,-3,-2,1,-6
29,127,72,36,0,118.0,1.0,95,14,5,3,5,4,1,1,1,-5
30,131,64,31,4,122.0,1.0,105,15,-3,-2,9,6,-3,-2,-1,-6
31,135,62,30,2,126.0,2.0,95,15,-5,-3,7,5,-2,-1,-1,-7
32,138,74,37,2,130.0,3.0,105,16,7,4,7,5,3,2,1,-6
33,140,81,41,9,134.0,1.0,95,16,14,8,2,2,3,2,1,-5
34,144,76,38,4,138.0,1.0,105,17,9,5,9,6,-2,-1,-1,-6
35,148,72,36,0,142.0,1.0,95,17,5,3,5,4,1,1,-1,-7
36,152,74,37,2,146.0,1.0,105,18,7,4,7,5,-2,-1,1,-6
37,156,81,41,9,150.0,1.0,95,18,14,8,2,2,3,2,1,-5
38,160,76,38,4,154.0,1.0,105,19,9,5,9,6,-2,-1,-1,-6
39,164,76,38,4,158.0,1.0,95,19,9,5,9,6,-3,-2,0,-6
40,168,74,37,2,162.0,3.0,105,20,7,4,7,5,5,3,-1,-7
41,170,81,41,9,166.0,1.0,95,20,14,8,2,2,3,2,1,-6
42,174,76,38,4,170.0,1.0,105,21,9,5,9,6,-2,-1,-1,-7
43,178,72,36,0,174.0,1.0,95,21,5,3,5,4,1,1,-1,-8
44,182,81,41,9,178.0,1.0,105,22,14,8,2,2,5,3,1,-7
45,186,76,38,4,182.0,1.0,95,22,9,5,9,6,-3,-2,-1,-8
46,190,81,41,9,186.0,1.0,105,23,14,8,2,2,5,3,1,-7
47,194,74,37,2,190.0,1.0,95,23,7,4,7,5,-2,-1,-1,-8
48,198,72,36,0,194.0,3.0,105,24,5,3,5,4,1,1,-1,-9
49,200,79,40,7,198.0,1.0,95,24,12,7,0,1,3,2,1,-8
50,204,74,37,2,202.0,2.0,105,25,7,4,7,5,5,3,-1,-9
51,207,83,42,11,206.0,1.0,95,25,16,9,4,3,9,5,1,-8
52,211,72,36,0,210.0,1.0,105,26,5,3,5,4,-2,-1,-1,-9
53,215,76,38,4,214.0,1.0,95,26,9,5,9,6,2,1,1,-8
54,220,76,38,4,218.0,1.0,105,27,9,5,9,6,2,1,0,-8
55,224,76,38,4,222.0,1.0,95,27,9,5,9,6,-3,-2,0,-8
56,228,72,36,0,226.0,3.0,105,28,5,3,5,4,1,1,-1,-9
57,230,79,40,7,230.0,1.0,95,28,12,7,0,1,3,2,1,-8
58,234,74,37,2,234.0,2.0,105,29,7,4,7,5,5,3,-1,-9
59,237,83,42,11,238.0,1.0,95,29,16,9,4,3,9,5,1,-8
60,241,81,41,9,242.0,1.0,105,30,14,8,2,2,7,4,-1,-9
61,245,76,38,4,246.0,1.0,95,30,9,5,9,6,-3,-2,-1,-10
62,249,81,41,9,250.0,1.0,105,31,14,8,2,2,5,3,1,-9
63,253,74,37,2,254.0,2.0,95,31,7,4,7,5,-2,-1,-1,-10
64,257,72,36,0,258.0,0.5,95,31,5,3,5,4,-2,-1,-1,-11
65,262,74,37,2,262.0,1.0,95,31,7,4,7,5,-4,-2,1,-10
66,264,76,38,4,264.0,1.0,105,32,9,5,9,6,-2,-1,1,-9
67,268,81,41,9,268.0,1.0,95,32,14,8,2,2,9,5,1,-8
68,272,74,37,2,272.0,1.0,105,33,7,4,7,5,2,1,-1,-9
69,278,81,41,9,276.0,1.0,95,33,14,8,2,2,3,2,1,-8
70,282,76,38,4,280.0,1.0,105,34,9,5,9,6,-2,-1,-1,-9
71,286,74,37,2,284.0,1.0,95,34,7,4,7,5,-2,-1,-1,-10
72,290,74,37,2,288.0,1.0,105,35,7,4,7,5,1,1,0,-10
73,296,81,41,9,292.0,1.0,95,35,14,8,2,2,3,2,1,-9
74,300,76,38,4,296.0,1.0,105,36,9,5,9,6,-2,-1,-1,-10
75,304,81,41,9,300.0,1.0,95,36,14,8,2,2,9,5,1,-9
76,308,76,38,4,304.0,1.0,105,37,9,5,9,6,4,2,-1,-10
77,312,76,38,4,308.0,1.0,95,37,9,5,9,6,-3,-2,0,-10
78,316,78,39,6,312.0,1.0,105,38,11,6,11,7,2,1,1,-9
79,320,74,37,2,316.0,4.0,95,38,7,4,7,5,-2,-1,-1,-10
80,321,72,36,0,320.0,1.0,105,39,5,3,5,4,-2,-1,-1,-11
81,327,79,40,7,324.0,1.0,95,39,12,7,0,1,3,2,1,-10
82,331,76,38,4,328.0,0.5,105,40,9,5,9,6,0,0,-1,-11
83,335,83,42,11,332.0,1.0,95,40,16,9,4,3,9,5,1,-10
