,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,78,39,6,0.0,1.0,105,0,16,9,4,3,0,0,0,0
1,4,76,38,4,4.0,1.0,95,0,14,8,2,2,2,1,-1,-1
2,8,74,37,2,8.0,1.0,105,1,12,7,0,1,-4,-2,-1,-2
3,12,64,31,4,12.0,1.0,95,1,2,1,2,2,-2,-1,-1,-3
4,18,64,31,4,16.0,0.5,105,2,2,1,2,2,-2,-1,0,-3
5,22,69,34,9,20.0,1.0,95,2,7,4,7,5,7,4,1,-2
6,26,74,37,2,24.0,1.0,105,3,12,7,0,1,5,3,1,-1
7,30,79,40,7,28.0,2.0,95,3,17,10,5,4,5,3,1,0
8,33,78,39,6,32.0,1.0,105,4,16,9,4,3,-1,-1,-1,-1
9,37,76,38,4,36.0,1.0,95,4,14,8,2,2,2,1,-1,-2
10,41,74,37,2,40.0,1.0,105,5,12,7,0,1,-4,-2,-1,-3
11,45,64,31,4,44.0,1.0,95,5,2,1,2,2,-2,-1,-1,-4
12,51,64,31,4,48.0,0.5,105,6,2,1,2,2,-2,-1,0,-4
13,55,71,35,11,52.0,0.5,95,6,9,5,9,6,2,1,1,-3
14,60,76,38,4,55.0,1.0,105,7,14,8,2,2,-2,-1,1,-2
15,64,74,37,2,59.0,2.0,95,7,12,7,0,1,1,1,-1,-3
16,65,78,39,6,63.0,1.0,105,8,16,9,4,3,4,2,1,-2
17,69,76,38,4,67.0,1.0,95,8,14,8,2,2,2,1,-1,-3
18,73,74,37,2,71.0,1.0,105,9,12,7,0,1,-4,-2,-1,-4
19,77,64,31,4,75.0,1.0,95,9,2,1,2,2,-2,-1,-1,-5
20,83,64,31,4,79.0,0.5,105,10,2,1,2,2,-2,-1,0,-5
21,87,69,34,9,83.0,1.0,95,10,7,4,7,5,7,4,1,-4
22,91,74,37,2,87.0,1.0,105,11,12,7,0,1,5,3,1,-3
23,95,79,40,7,91.0,2.0,95,11,17,10,5,4,5,3,1,-2
24,98,78,39,6,95.0,1.0,105,12,16,9,4,3,-1,-1,-1,-3
25,102,76,38,4,99.0,1.0,95,12,14,8,2,2,2,1,-1,-4
26,106,74,37,2,103.0,1.0,105,13,12,7,0,1,-4,-2,-1,-5
27,110,64,31,4,107.0,1.0,95,13,2,1,2,2,-2,-1,-1,-6
28,116,64,31,4,111.0,0.5,105,14,2,1,2,2,-2,-1,0,-6
29,120,71,35,11,115.0,0.5,95,14,9,5,9,6,2,1,1,-5
30,125,76,38,4,118.0,1.0,105,15,14,8,2,2,-2,-1,1,-4
31,129,74,37,2,122.0,2.0,95,15,12,7,0,1,1,1,-1,-5
32,132,78,39,6,126.0,1.0,105,16,16,9,4,3,4,2,1,-4
33,136,74,37,2,130.0,1.0,95,16,12,7,0,1,1,1,-1,-5
34,140,83,42,11,134.0,1.0,105,17,21,12,9,6,5,3,1,-4
35,144,79,40,7,138.0,1.0,95,17,17,10,5,4,1,1,-1,-5
36,148,74,37,2,142.0,1.0,105,18,12,7,0,1,1,1,-1,-6
37,152,79,40,7,146.0,3.0,95,18,17,10,5,4,1,1,1,-5
38,154,81,41,9,150.0,1.0,105,19,19,11,7,5,-2,-1,1,-4
39,158,76,38,4,154.0,2.0,95,19,14,8,2,2,-2,-1,-1,-5
40,161,78,39,6,158.0,2.0,105,20,16,9,4,3,2,1,1,-4
41,164,74,37,2,162.0,1.0,95,20,12,7,0,1,1,1,-1,-5
42,168,83,42,11,166.0,1.0,105,21,21,12,9,6,5,3,1,-4
43,172,79,40,7,170.0,1.0,95,21,17,10,5,4,1,1,-1,-5
44,176,74,37,2,174.0,1.0,105,22,12,7,0,1,1,1,-1,-6
45,180,66,32,6,178.0,1.0,95,22,4,2,4,3,-1,-1,-1,-7
46,184,76,38,4,182.0,1.0,105,23,14,8,2,2,-2,-1,1,-6
47,188,74,37,2,186.0,1.0,95,23,12,7,0,1,1,1,-1,-7
48,192,78,39,6,190.0,1.0,105,24,16,9,4,3,2,1,1,-6
49,196,74,37,2,194.0,1.0,95,24,12,7,0,1,1,1,-1,-7
50,200,83,42,11,198.0,1.0,105,25,21,12,9,6,5,3,1,-6
51,204,79,40,7,202.0,1.0,95,25,17,10,5,4,1,1,-1,-7
52,208,74,37,2,206.0,1.0,105,26,12,7,0,1,1,1,-1,-8
53,212,79,40,7,210.0,3.0,95,26,17,10,5,4,1,1,1,-7
54,214,81,41,9,214.0,1.0,105,27,19,11,7,5,-2,-1,1,-6
55,218,76,38,4,218.0,2.0,95,27,14,8,2,2,-2,-1,-1,-7
56,221,81,41,9,222.0,1.0,105,28,19,11,7,5,2,1,1,-6
57,227,81,41,9,226.0,1.0,95,28,19,11,7,5,0,0,0,-6
58,231,79,40,7,230.0,1.0,105,29,17,10,5,4,1,1,-1,-7
59,235,76,38,4,234.0,1.0,95,29,14,8,2,2,2,1,-1,-8
60,239,74,37,2,238.0,1.0,105,30,12,7,0,1,1,1,-1,-9
61,243,66,32,6,242.0,1.0,95,30,4,2,4,3,-1,-1,-1,-10
62,247,76,38,4,246.0,1.0,105,31,14,8,2,2,-2,-1,1,-9
63,251,74,37,2,250.0,4.0,95,31,12,7,0,1,1,1,-1,-10
