,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,61,29,1,2.0,1.0,105,0,-8,-5,4,3,0,0,0,0
1,6,68,33,8,8.0,1.0,105,1,-1,-1,11,7,-1,-1,1,1
2,10,80,40,8,14.0,1.0,105,2,11,6,11,7,2,1,1,2
3,16,73,36,1,20.0,1.0,105,3,4,2,4,3,2,1,-1,1
4,22,61,29,1,26.0,1.0,105,4,-8,-5,4,3,-8,-5,-1,0
5,26,68,33,8,32.0,1.0,105,5,-1,-1,11,7,-1,-1,1,1
6,30,80,40,8,38.0,1.0,105,6,11,6,11,7,2,1,1,2
7,36,69,34,9,44.0,4.0,105,7,0,0,0,1,-2,-1,-1,1
8,39,64,31,4,50.0,1.0,105,8,-5,-3,7,5,2,1,-1,0
9,41,61,29,1,52.0,1.0,105,9,-8,-5,4,3,-1,-1,-1,-1
10,45,68,33,8,58.0,1.0,105,10,-1,-1,11,7,-1,-1,1,0
11,49,80,40,8,64.0,1.0,105,11,11,6,11,7,2,1,1,1
12,55,73,36,1,70.0,1.0,105,12,4,2,4,3,2,1,-1,0
13,61,61,29,1,76.0,1.0,105,13,-8,-5,4,3,-8,-5,-1,-1
14,65,68,33,8,82.0,1.0,105,14,-1,-1,11,7,-1,-1,1,0
15,69,80,40,8,88.0,1.0,105,15,11,6,11,7,2,1,1,1
16,75,69,34,9,94.0,3.0,105,16,0,0,0,1,-2,-1,-1,0
17,79,83,42,11,100.0,2.0,105,17,14,8,2,2,2,1,1,1
18,84,68,33,8,106.0,1.0,105,18,-1,-1,11,7,-3,-2,-1,0
19,88,74,37,2,112.0,2.0,105,19,5,3,5,4,1,1,1,1
20,93,74,37,2,118.0,2.0,105,20,5,3,5,4,1,1,0,1
21,98,83,42,11,124.0,2.0,105,21,14,8,2,2,2,1,1,2
22,103,68,33,8,130.0,1.0,105,22,-1,-1,11,7,-3,-2,-1,1
23,107,74,37,2,136.0,2.0,105,23,5,3,5,4,1,1,1,2
24,112,69,34,9,142.0,6.0,105,24,0,0,0,1,-4,-2,-1,1
