,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,81,41,9,0.0,2.0,105,0,19,11,7,5,0,0,0,0
1,2,76,38,4,3.0,1.0,95,0,14,8,2,2,-2,-1,-1,-1
2,5,76,38,4,6.0,1.0,95,0,14,8,2,2,0,0,0,-1
3,8,81,41,9,9.0,2.0,105,1,19,11,7,5,5,3,1,0
4,10,76,38,4,12.0,1.0,95,1,14,8,2,2,-2,-1,-1,-1
5,13,78,39,6,15.0,2.0,95,1,16,9,4,3,2,1,1,0
6,15,81,41,9,18.0,2.0,105,2,19,11,7,5,5,3,1,1
7,17,76,38,4,21.0,1.0,95,2,14,8,2,2,-2,-1,-1,0
8,20,76,38,4,24.0,1.0,95,2,14,8,2,2,0,0,0,0
9,23,73,36,1,27.0,2.0,105,3,11,6,11,7,4,2,-1,-1
10,25,71,35,11,30.0,1.0,95,3,9,5,9,6,0,0,-1,-2
11,28,78,39,6,33.0,2.0,95,3,16,9,4,3,2,1,1,-1
12,30,81,41,9,36.0,2.0,105,4,19,11,7,5,5,3,1,0
13,32,76,38,4,39.0,1.0,95,4,14,8,2,2,-2,-1,-1,-1
14,35,76,38,4,42.0,1.0,95,4,14,8,2,2,0,0,0,-1
15,38,81,41,9,45.0,2.0,105,5,19,11,7,5,5,3,1,0
16,40,76,38,4,48.0,1.0,95,5,14,8,2,2,-2,-1,-1,-1
17,43,78,39,6,51.0,2.0,95,5,16,9,4,3,2,1,1,0
18,45,81,41,9,54.0,2.0,105,6,19,11,7,5,5,3,1,1
19,47,76,38,4,57.0,1.0,95,6,14,8,2,2,-2,-1,-1,0
20,50,76,38,4,60.0,1.0,95,6,14,8,2,2,0,0,0,0
21,53,73,36,1,63.0,2.0,105,7,11,6,11,7,4,2,-1,-1
22,55,71,35,11,66.0,1.0,95,7,9,5,9,6,0,0,-1,-2
23,58,78,39,6,69.0,2.0,95,7,16,9,4,3,2,1,1,-1
24,60,69,34,9,72.0,2.0,105,8,7,4,7,5,-7,-4,-1,-2
25,62,76,38,4,75.0,1.0,95,8,14,8,2,2,0,0,1,-1
26,65,76,38,4,78.0,1.0,95,8,14,8,2,2,0,0,0,-1
27,68,73,36,1,81.0,2.0,105,9,11,6,11,7,4,2,-1,-2
28,70,76,38,4,84.0,1.0,95,9,14,8,2,2,0,0,1,-1
29,73,78,39,6,87.0,2.0,95,9,16,9,4,3,2,1,1,0
30,75,69,34,9,90.0,2.0,105,10,7,4,7,5,-7,-4,-1,-1
31,77,76,38,4,93.0,1.0,95,10,14,8,2,2,0,0,1,0
32,80,76,38,4,96.0,1.0,95,10,14,8,2,2,0,0,0,0
33,83,73,36,1,99.0,2.0,105,11,11,6,11,7,4,2,-1,-1
34,85,71,35,11,102.0,1.0,95,11,9,5,9,6,0,0,-1,-2
35,88,78,39,6,105.0,2.0,95,11,16,9,4,3,2,1,1,-1
36,90,69,34,9,108.0,2.0,105,12,7,4,7,5,-7,-4,-1,-2
37,92,76,38,4,111.0,1.0,95,12,14,8,2,2,0,0,1,-1
38,95,76,38,4,114.0,1.0,95,12,14,8,2,2,0,0,0,-1
39,98,73,36,1,117.0,2.0,105,13,11,6,11,7,4,2,-1,-2
40,100,76,38,4,120.0,1.0,95,13,14,8,2,2,0,0,1,-1
41,103,78,39,6,123.0,2.0,95,13,16,9,4,3,2,1,1,0
42,105,69,34,9,126.0,2.0,105,14,7,4,7,5,-7,-4,-1,-1
43,107,76,38,4,129.0,1.0,95,14,14,8,2,2,0,0,1,0
44,110,76,38,4,132.0,1.0,95,14,14,8,2,2,0,0,0,0
45,113,81,41,9,135.0,2.0,105,15,19,11,7,5,5,3,1,1
46,115,76,38,4,138.0,1.0,95,15,14,8,2,2,-2,-1,-1,0
47,118,78,39,6,141.0,2.0,95,15,16,9,4,3,2,1,1,1
