,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,74,37,2,0.0,2.0,105,0,7,4,7,5,0,0,0,0
1,8,74,37,2,12.0,2.0,105,1,7,4,7,5,3,2,0,0
2,14,74,37,2,24.0,2.0,105,2,7,4,7,5,-2,-1,0,0
3,22,72,36,0,36.0,2.0,105,3,5,3,5,4,1,1,-1,-1
4,28,74,37,2,48.0,2.0,105,4,7,4,7,5,-2,-1,1,0
5,36,74,37,2,60.0,2.0,105,5,7,4,7,5,3,2,0,0
6,42,74,37,2,72.0,2.0,105,6,7,4,7,5,-2,-1,0,0
7,50,72,36,0,84.0,2.0,105,7,5,3,5,4,1,1,-1,-1
8,56,67,33,7,96.0,2.0,105,8,0,0,0,1,-9,-5,-1,-2
9,64,67,33,7,108.0,2.0,105,9,0,0,0,1,-4,-2,0,-2
10,70,79,40,7,120.0,1.0,105,10,12,7,0,1,5,3,1,-1
11,82,76,38,4,132.0,2.0,105,11,9,5,9,6,2,1,-1,-2
12,88,67,33,7,144.0,2.0,105,12,0,0,0,1,-9,-5,-1,-3
13,96,67,33,7,156.0,2.0,105,13,0,0,0,1,-4,-2,0,-3
14,102,79,40,7,168.0,1.0,105,14,12,7,0,1,5,3,1,-2
15,114,76,38,4,180.0,2.0,105,15,9,5,9,6,2,1,-1,-3
16,120,74,37,2,192.0,4.0,105,16,7,4,7,5,-2,-1,-1,-4
17,129,74,37,2,204.0,4.0,105,17,7,4,7,5,3,2,0,-4
18,136,74,37,2,216.0,4.0,105,18,7,4,7,5,-5,-3,0,-4
19,145,72,36,0,228.0,2.0,105,19,5,3,5,4,1,1,-1,-5
20,151,74,37,2,240.0,4.0,105,20,7,4,7,5,-2,-1,1,-4
21,160,74,37,2,252.0,4.0,105,21,7,4,7,5,3,2,0,-4
22,167,74,37,2,264.0,4.0,105,22,7,4,7,5,-5,-3,0,-4
23,176,72,36,0,276.0,2.0,105,23,5,3,5,4,1,1,-1,-5
