,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,71,35,11,2.0,3.0,105,0,4,2,4,3,0,0,0,0
1,5,67,33,7,8.0,2.0,105,1,0,0,0,1,-2,-1,-1,-1
2,8,64,31,4,14.0,3.0,105,2,-3,-2,9,6,2,1,-1,-2
3,12,62,30,2,20.0,4.0,105,3,-5,-3,7,5,-2,-1,-1,-3
4,14,71,35,11,26.0,3.0,105,4,4,2,4,3,9,5,1,-2
5,18,74,37,2,32.0,3.0,105,5,7,4,7,5,2,1,1,-1
6,22,74,37,2,38.0,2.0,105,6,7,4,7,5,-2,-1,0,-1
7,25,69,34,9,44.0,4.0,105,7,2,1,2,2,2,1,-1,-2
8,27,71,35,11,50.0,3.0,105,8,4,2,4,3,9,5,1,-1
9,31,67,33,7,56.0,2.0,105,9,0,0,0,1,-2,-1,-1,-2
10,34,64,31,4,62.0,3.0,105,10,-3,-2,9,6,2,1,-1,-3
11,38,71,35,11,68.0,4.0,105,11,4,2,4,3,2,1,1,-2
12,41,67,33,7,74.0,3.0,105,12,0,0,0,1,-2,-1,-1,-3
13,45,64,31,4,80.0,3.0,105,13,-3,-2,9,6,-3,-2,-1,-4
14,49,62,30,2,86.0,1.0,105,14,-5,-3,7,5,-2,-1,-1,-5
15,52,67,33,7,92.0,4.0,105,15,0,0,0,1,1,1,1,-4
16,54,71,35,11,98.0,3.0,105,16,4,2,4,3,9,5,1,-3
17,58,67,33,7,104.0,2.0,105,17,0,0,0,1,-2,-1,-1,-4
18,61,64,31,4,110.0,3.0,105,18,-3,-2,9,6,2,1,-1,-5
19,65,62,30,2,116.0,4.0,105,19,-5,-3,7,5,-2,-1,-1,-6
20,67,71,35,11,122.0,3.0,105,20,4,2,4,3,9,5,1,-5
21,71,74,37,2,128.0,3.0,105,21,7,4,7,5,2,1,1,-4
22,75,74,37,2,134.0,2.0,105,22,7,4,7,5,-2,-1,0,-4
23,78,69,34,9,140.0,4.0,105,23,2,1,2,2,2,1,-1,-5
24,80,71,35,11,146.0,3.0,105,24,4,2,4,3,9,5,1,-4
25,84,67,33,7,152.0,2.0,105,25,0,0,0,1,-2,-1,-1,-5
26,87,64,31,4,158.0,3.0,105,26,-3,-2,9,6,2,1,-1,-6
27,91,71,35,11,164.0,4.0,105,27,4,2,4,3,2,1,1,-5
28,94,67,33,7,170.0,3.0,105,28,0,0,0,1,-2,-1,-1,-6
29,98,64,31,4,176.0,3.0,105,29,-3,-2,9,6,-3,-2,-1,-7
30,102,62,30,2,182.0,1.0,105,30,-5,-3,7,5,-2,-1,-1,-8
31,105,67,33,7,188.0,4.0,105,31,0,0,0,1,1,1,1,-7
32,107,79,40,7,194.0,3.0,105,32,12,7,0,1,5,3,1,-6
33,111,81,41,9,200.0,1.0,105,33,14,8,2,2,2,1,1,-5
34,114,79,40,7,206.0,1.0,105,34,12,7,0,1,-2,-1,-1,-6
35,117,74,37,2,212.0,4.0,105,35,7,4,7,5,-5,-3,-1,-7
36,119,76,38,4,218.0,3.0,105,36,9,5,9,6,2,1,1,-6
37,123,74,37,2,224.0,2.0,105,37,7,4,7,5,-2,-1,-1,-7
38,126,83,42,11,230.0,3.0,105,38,16,9,4,3,2,1,1,-6
39,129,81,41,9,236.0,4.0,105,39,14,8,2,2,2,1,-1,-7
40,131,79,40,7,242.0,3.0,105,40,12,7,0,1,5,3,-1,-8
41,135,81,41,9,248.0,1.0,105,41,14,8,2,2,2,1,1,-7
42,138,79,40,7,254.0,1.0,105,42,12,7,0,1,-2,-1,-1,-8
43,141,74,37,2,260.0,3.0,105,43,7,4,7,5,-5,-3,-1,-9
44,145,67,33,7,266.0,3.0,105,44,0,0,0,1,-2,-1,-1,-10
45,149,64,31,4,272.0,3.0,105,45,-3,-2,9,6,-3,-2,-1,-11
46,153,62,30,2,278.0,1.0,105,46,-5,-3,7,5,-2,-1,-1,-12
47,156,67,33,7,284.0,4.0,105,47,0,0,0,1,1,1,1,-11
48,158,79,40,7,290.0,3.0,105,48,12,7,0,1,5,3,1,-10
49,162,81,41,9,296.0,1.0,105,49,14,8,2,2,2,1,1,-9
50,165,79,40,7,302.0,1.0,105,50,12,7,0,1,-2,-1,-1,-10
51,168,74,37,2,308.0,4.0,105,51,7,4,7,5,-5,-3,-1,-11
52,170,76,38,4,314.0,3.0,105,52,9,5,9,6,2,1,1,-10
53,174,74,37,2,320.0,2.0,105,53,7,4,7,5,-2,-1,-1,-11
54,177,83,42,11,326.0,3.0,105,54,16,9,4,3,2,1,1,-10
55,180,81,41,9,332.0,4.0,105,55,14,8,2,2,2,1,-1,-11
56,182,79,40,7,338.0,3.0,105,56,12,7,0,1,5,3,-1,-12
57,186,81,41,9,344.0,1.0,105,57,14,8,2,2,2,1,1,-11
58,189,79,40,7,350.0,1.0,105,58,12,7,0,1,-2,-1,-1,-12
59,192,74,37,2,356.0,3.0,105,59,7,4,7,5,-5,-3,-1,-13
60,196,67,33,7,362.0,3.0,105,60,0,0,0,1,-2,-1,-1,-14
61,200,64,31,4,368.0,3.0,105,61,-3,-2,9,6,-3,-2,-1,-15
62,204,62,30,2,374.0,1.0,105,62,-5,-3,7,5,-2,-1,-1,-16
63,207,67,33,7,380.0,4.0,105,63,0,0,0,1,1,1,1,-15
